skill_match,experience,resume_length,keyword_density,num_skills,education_level,cert_count,job_count,selected
0.85,6.33,667,0.0,21,3,0,1,1
0.75,6.5,685,0.0,10,4,0,1,1
0.416666667,7.75,338,0.026316,14,3,0,1,0
0.7600000000000001,13.83,767,0.0,36,0,0,6,0
0.65,18.17,1031,0.026786,32,3,0,5,1
0.85,19.17,1240,0.0,17,3,0,3,1
0.65,0.67,395,0.066667,6,3,0,1,1
0.65,20.17,1144,0.026549,52,3,0,3,1
0.55,6.75,503,0.0,18,3,0,1,0
0.383333333,7.17,372,0.0,17,0,0,1,0
0.75,34.17,1298,0.0,36,4,0,3,1
0.65,5.92,448,0.0,9,0,0,1,0
0.65,6.08,521,0.0,7,0,0,2,0
0.316666667,0.17,648,0.0,22,3,4,2,0
0.583333333,5.17,405,0.0,10,3,2,2,0
0.85,5.75,567,0.016667,13,3,0,1,1
0.85,21.5,976,0.0,28,0,0,4,1
0.626666667,6.25,380,0.02439,8,3,0,1,0
0.333333333,5.17,550,0.0,10,3,2,2,0
0.65,7.0,409,0.0,16,3,0,1,0
0.2166666666666666,23.58,283,0.0,13,3,0,3,0
0.85,27.83,666,0.012346,13,0,0,3,1
0.65,0.0,469,0.016393,11,3,0,1,0
0.85,10.83,1108,0.0,48,0,0,6,0
0.65,0.0,689,0.0,16,0,0,1,0
0.65,14.17,653,0.0,10,4,2,3,1
0.85,6.33,418,0.0,15,0,0,1,0
0.596666667,7.75,370,0.0,14,3,0,1,0
0.85,31.33,953,0.0,55,0,0,4,1
0.75,5.75,403,0.02381,13,3,0,1,1
0.383333333,1.0,509,0.0,14,3,0,1,0
0.85,2.58,738,0.0,11,3,0,3,0
0.85,33.25,2040,0.004386,113,0,0,3,1
0.65,7.17,427,0.06383,8,3,0,1,1
0.85,18.33,297,0.0,11,5,0,5,1
0.75,0.0,1001,0.0,12,3,0,1,0
0.816666667,0.75,519,0.0,7,0,1,1,0
0.623333333,7.0,570,0.0,14,3,0,1,0
0.716666667,1.42,318,0.025641,3,3,1,2,0
0.65,27.67,713,0.0,35,0,0,4,0
0.783333333,7.58,767,0.0,36,0,0,3,0
0.716666667,0.0,549,0.0,11,3,0,1,0
0.55,16.08,1006,0.016529,41,0,0,3,0
0.85,16.17,1121,0.0,27,3,0,2,1
0.85,3.08,582,0.0,36,4,0,2,1
0.783333333,2.33,310,0.027778,9,3,3,3,1
0.7166666666666667,1.33,571,0.017857,26,0,0,4,0
0.65,14.17,760,0.0,10,4,2,3,1
0.5333333333333333,13.17,1098,0.0,40,3,0,4,0
0.65,1.67,697,0.0,17,0,0,1,0
0.6,0.83,553,0.0,0,0,0,2,0
0.7833333333333333,15.17,859,0.0,39,4,0,3,1
0.483333333,40.08,924,0.0,13,0,0,4,0
0.85,8.5,1169,0.02381,26,0,0,6,0
0.716666667,4.33,568,0.0,3,0,0,2,0
0.75,7.75,410,0.0,9,0,0,3,0
0.48,5.17,490,0.0,10,4,0,1,0
0.783333333,0.0,483,0.055556,13,3,0,1,1
0.85,13.67,458,0.021277,20,0,0,4,1
0.85,10.83,1098,0.0,48,0,0,6,0
0.65,6.08,411,0.0,8,4,0,1,0
0.693333333,6.92,521,0.0,9,3,0,1,0
0.65,0.0,462,0.0,18,4,0,1,0
0.76,25.5,624,0.0,10,0,0,4,0
0.736666667,0.5,641,0.012658,10,3,0,1,0
0.783333333,22.0,610,0.048387,26,0,0,3,1
0.65,6.08,580,0.0,6,0,0,2,0
0.34,25.67,336,0.0,4,3,0,4,0
0.623333333,5.58,706,0.0,13,3,0,1,0
0.85,0.0,1078,0.0,17,4,0,2,0
0.656666667,6.83,673,0.0,16,3,0,1,0
0.693333333,6.33,431,0.0,16,3,0,1,0
0.85,6.92,508,0.0,13,0,0,1,0
0.826666667,5.58,673,0.0,16,3,0,1,0
0.57,26.5,223,0.0,9,3,0,3,1
0.85,19.17,882,0.0,39,0,0,3,1
0.826666667,0.25,767,0.0,11,3,0,1,0
0.76,18.25,1253,0.008197,70,4,0,10,1
0.683333333,1.17,524,0.0,15,3,1,1,0
0.75,0.0,1031,0.0,18,0,1,1,0
0.85,14.33,1298,0.0,45,4,0,6,1
0.716666667,0.0,445,0.017857,7,3,0,2,0
0.85,3.67,754,0.011628,22,0,0,4,0
0.65,0.42,423,0.040816,10,0,0,1,0
0.2266666666666666,3.58,986,0.0,58,3,0,4,0
0.55,8.17,497,0.0,10,0,0,3,0
0.75,22.17,626,0.024096,4,3,0,5,1
0.6,1.42,444,0.0,12,3,0,1,0
0.55,16.08,484,0.0,7,0,2,3,0
0.85,14.17,828,0.0,10,4,2,3,1
0.65,18.92,858,0.0,32,0,0,4,0
0.65,5.58,715,0.011765,16,3,0,1,0
0.683333333,0.67,476,0.038462,10,4,0,1,1
0.85,0.42,470,0.0,12,3,0,1,0
0.85,6.5,466,0.0,11,3,0,2,1
0.716666667,42.17,641,0.0,27,3,0,7,1
0.85,8.5,1110,0.0,26,0,0,6,0
0.85,6.83,706,0.011111,12,3,0,1,1
0.65,35.67,537,0.0,12,3,0,2,1
0.793333333,34.17,765,0.0,20,4,0,4,1
0.65,0.5,427,0.0,7,3,0,1,0
0.343333333,35.17,435,0.0,18,0,0,3,0
0.35,7.0,308,0.0,16,3,0,1,0
0.65,33.0,474,0.0,13,3,1,4,1
0.826666667,27.0,671,0.013158,13,0,0,6,1
0.8166666666666668,34.17,1331,0.0,36,4,0,3,1
0.716666667,0.0,656,0.010753,16,0,0,1,0
0.65,59.0,178,0.0,0,0,0,9,0
0.55,1.5,713,0.022222,21,4,0,4,0
0.16,0.0,1132,0.0,56,0,0,7,0
0.65,20.67,1012,0.0,60,4,0,6,1
0.65,6.17,459,0.0,6,3,0,1,0
0.783333333,1.5,728,0.036585,34,0,2,3,0
0.65,35.17,807,0.0,18,0,0,3,0
0.75,13.83,873,0.0,36,0,0,6,0
0.716666667,24.33,1033,0.0,51,4,0,4,1
0.35,0.0,623,0.0,12,3,1,1,0
0.893333333,3.0,536,0.0,7,5,0,3,1
0.65,5.92,393,0.0,12,3,0,1,0
0.65,3.0,364,0.0,7,5,0,3,0
0.85,11.17,494,0.0,10,3,0,3,1
0.85,13.08,656,0.0,10,3,0,3,1
0.716666667,34.17,757,0.033708,20,4,0,4,1
0.85,1.17,941,0.0,15,3,1,1,0
0.816666667,34.33,477,0.018868,10,3,0,6,1
0.75,6.25,518,0.053571,8,3,0,1,1
0.85,6.33,427,0.0,15,0,0,1,0
0.383333333,2.75,300,0.0,13,4,0,7,0
0.576666667,9.67,488,0.037037,12,4,0,5,1
0.683333333,39.58,529,0.0,16,4,2,3,1
0.85,15.42,306,0.051282,5,3,0,3,1
0.65,13.67,459,0.0,20,0,0,4,0
0.816666667,16.08,486,0.0,7,0,2,3,0
0.716666667,24.75,437,0.0,12,4,2,5,1
0.71,20.67,1105,0.016949,60,4,0,6,1
0.266666667,31.33,761,0.0,55,0,0,4,0
0.7833333333333333,13.67,492,0.0,20,0,0,4,0
0.583333333,1.75,379,0.0,5,3,0,2,0
0.783333333,5.75,393,0.0,20,3,0,2,0
0.483333333,7.17,527,0.0,12,3,0,1,0
0.466666667,0.33,511,0.0,15,3,2,1,0
0.783333333,0.58,635,0.037037,11,3,0,1,1
0.34,25.25,686,0.0,24,0,1,5,0
0.816666667,18.92,881,0.01087,32,0,0,4,1
0.943333333,0.0,907,0.0,16,0,0,1,0
0.716666667,0.0,491,0.074074,18,4,0,1,1
0.383333333,15.25,891,0.0,35,4,0,3,0
0.65,0.25,549,0.0,11,3,0,1,0
0.783333333,34.67,419,0.0,10,4,0,3,1
0.2833333333333333,31.58,1272,0.0,65,0,0,4,0
0.816666667,12.75,1028,0.0,32,3,2,3,1
0.483333333,1.25,631,0.014286,12,4,2,5,0
0.5499999999999999,40.33,514,0.0,17,3,0,5,1
0.65,6.83,683,0.022472,13,3,0,1,0
0.383333333,5.17,511,0.027778,10,3,2,2,0
0.65,1.42,299,0.027778,9,3,0,1,0
0.62,0.75,640,0.0,15,4,0,1,0
0.65,7.08,495,0.0,13,3,1,1,0
0.85,2.33,282,0.0,9,3,3,3,0
0.75,5.75,416,0.035714,20,3,0,2,1
0.85,1.5,714,0.0,21,4,0,4,1
0.7600000000000001,13.83,1269,0.0,36,0,0,6,0
0.8166666666666668,19.42,808,0.0,27,0,2,3,1
0.85,3.0,1069,0.025424,27,4,0,6,1
0.75,11.17,328,0.0,10,3,0,3,1
0.35,5.58,392,0.0,16,3,0,1,0
0.65,31.33,1126,0.008621,66,0,0,4,0
0.85,2.33,306,0.0,9,3,3,3,0
0.77,7.17,366,0.0,8,3,0,1,0
0.35,0.0,505,0.0,14,3,0,1,0
0.3166666666666666,23.58,426,0.0,13,3,0,3,0
0.716666667,5.92,540,0.0,16,3,0,1,0
0.716666667,4.58,283,0.0,6,3,0,4,0
0.683333333,0.0,351,0.026316,9,3,0,1,0
0.35,5.92,457,0.0,16,3,0,1,0
0.516666667,1.17,533,0.0,15,3,1,1,0
0.873333333,10.92,831,0.010638,29,3,2,4,1
0.5499999999999999,15.33,822,0.0,40,4,0,3,1
0.65,8.17,453,0.0,10,0,0,3,0
0.85,0.0,612,0.0,16,3,0,1,0
0.85,0.0,831,0.011111,38,0,0,3,0
0.35,8.17,460,0.034483,10,0,0,3,0
0.793333333,20.5,2124,0.0,17,4,6,3,1
0.383333333,0.75,717,0.0,18,3,0,1,0
0.5666666666666667,14.33,1159,0.0,45,4,0,6,1
0.683333333,0.0,501,0.0,11,3,0,1,0
0.71,51.92,552,0.0,9,0,1,4,0
0.65,0.0,632,0.0,6,3,0,0,0
0.483333333,0.42,558,0.0,20,3,0,1,0
0.65,0.75,726,0.0,15,4,0,1,0
0.6933333333333334,19.5,600,0.0,31,3,2,4,1
0.35,20.5,1940,0.00823,17,4,6,3,1
0.85,13.33,3053,0.0,106,0,1,2,0
0.6066666666666667,22.17,732,0.0,4,3,0,5,1
0.65,7.17,678,0.0,12,3,0,1,0
0.85,16.08,494,0.0,7,0,2,3,0
0.883333333,2.42,481,0.0,11,3,0,1,0
0.3166666666666666,14.75,538,0.0,20,4,0,4,0
0.683333,9.0,767,0.0,27,3,0,4,0
0.62,0.25,584,0.0,8,3,0,1,0
0.85,19.5,652,0.013514,15,0,0,3,1
0.7616666666666667,40.83,1194,0.0,47,4,0,7,1
0.65,7.0,449,0.0,14,0,0,2,0
0.35,6.08,312,0.0,8,4,0,1,0
